Date,Market_Price,IV,Price,q_div,ON,1M,3M,6M,1Y,2Y,3Y,T,r_ZC,T_curve,BS_Price,Rab_Price,Rab_rho_-1,Rab_rho_+1,Diff_BS_Market,Diff_Rab_Market,DiffRel_BS_Market,DiffRel_Rab_Market,Diff_Rab_rho_-1,Diff_Rab_rho_+1,DiffRel_Rab_rho_-1,DiffRel_Rab_rho_+1,ticker,source_file
9/19/2022,28.8,0.31273,154.48,0.0005955,0.0227,0.030465,0.0346723,0.0388408,0.030115,0.03069,0.030912,3.376984126984127,0.030720355,2.331506849315069,27.536121351516226,30.09850816,30.250789431196992,29.90817836284711,-1.263878648,1.298508155448399,-0.043884675,0.045087089,1.450789431196991,1.1081783628471094,0.050374633,0.038478415,AAPL,AAPL_option_pricing.csv
9/20/2022,31,0.31535,156.9,0.0005864,0.0226,0.0307555,0.0348945,0.0390236,0.03126,0.0312655,0.031252,3.373015873015873,0.031202192,2.328767123287671,29.231768196938063,31.793739021605305,31.94681819034581,31.60242473702229,-1.768231803,0.7937390216053046,-0.057039736,0.025604485,0.9468181903458088,0.6024247370222895,0.030542522,0.019433056,AAPL,AAPL_option_pricing.csv
9/21/2022,30.61,0.31583,153.72,0.0005985,0.0225,0.0307528,0.0349902,0.0391096,0.0308755,0.0308885,0.03129,3.369047619047619,0.030966662,2.326027397260274,27.377645207143235,29.865614158607706,30.01730485168873,29.67603285114633,-3.232354793,-0.744385841,-0.105598,-0.024318388,-0.592695148,-0.933967149,-0.019362795,-0.030511831,AAPL,AAPL_option_pricing.csv
9/22/2022,28.95,0.3178,152.74,0.0006023,0.0299,0.0306364,0.0353962,0.0395724,0.030875,0.030885,0.0309,3.365079365079365,0.030838852,2.3232876712328765,26.961446017057163,29.52353094702171,29.67450343779484,29.33485367046491,-1.988553983,0.5735309470217125,-0.068689257,0.019811086,0.7245034377948407,0.3848536704649099,0.025026025,0.013293736,AAPL,AAPL_option_pricing.csv
9/23/2022,26.84,0.31658,150.43,0.0006116,0.0299,0.0303184,0.0351903,0.0396693,0.03088,0.0309095,0.030919,3.361111111111111,0.03085949,2.320547945,25.538964588050757,28.018372997281237,28.16811414230301,27.83123115366903,-1.301035412,1.1783729972812331,-0.048473749,0.043903614,1.3281141423030114,0.9912311536690304,0.049482643,0.036931116,AAPL,AAPL_option_pricing.csv
9/26/2022,27.94,0.31757,150.77,0.0006102,0.0299,0.0303544,0.035432,0.039931,0.03091,0.03096,0.030919,3.3492063492063493,0.030893625,2.3123287671232875,25.756312651501226,28.23159890475933,28.381224383127368,28.044605364471813,-2.183687348,0.2915989047593292,-0.078156312,0.010436611,0.4412243831273663,0.1046053644718121,0.015791853,0.003743929,AAPL,AAPL_option_pricing.csv
9/27/2022,28.25,0.31835,151.76,0.0006062,0.0298,0.0304685,0.0356455,0.0401033,0.03087,0.030895,0.030875,3.345238095238096,0.030836771,2.3095890410958906,26.349492900548764,28.86021252201908,29.01024123614861,28.672717504826167,-1.900507099,0.6102125220190757,-0.067274588,0.021600443,0.7602412361486088,0.4227175048261671,0.026911194,0.014963451,AAPL,AAPL_option_pricing.csv
9/28/2022,26.87,0.31602,149.84,0.000614,0.0298,0.0303409,0.035532,0.0398129,0.030835,0.030845,0.030875,3.3412698412698414,0.030802797,2.306849315068493,25.047974995282075,27.49801801073784,27.646992881558887,27.311833614648968,-1.822025005,0.6280180107378364,-0.067808895,0.02337246,0.7769928815588862,0.4418336146489672,0.028916743,0.01644338,AAPL,AAPL_option_pricing.csv
9/29/2022,22.62,0.31939,142.48,0.0006457,0.0296,0.0301962,0.0355891,0.0393799,0.030825,0.030835,0.03086,3.3373015873015874,0.030790391,2.304109589041096,21.431214633440817,23.62231652543253,23.766168588631267,23.44256373166957,-1.188785367,1.002316525,-0.052554614,0.044311075,1.1461685886312658,0.8225637316695646,0.050670583,0.036364444,AAPL,AAPL_option_pricing.csv
9/30/2022,20.5,0.3201,138.2,0.0006657,0.0298,0.0304205,0.0359329,0.0399102,0.0308245,0.0308415,0.03086,3.333333333333333,0.030795728,2.3013698630136985,19.34825864981225,21.39114369216388,21.531242657562917,21.216104598991706,-1.15174135,0.8911436921638796,-0.056182505,0.043470424,1.0312426575629132,0.7161045989917056,0.05030452,0.034931932,AAPL,AAPL_option_pricing.csv
